slice,phase_gradient_mean,phase_gradient_std,hermitian_error_mean,hermitian_error_std,mean_coherence,phase_entropy,phase_quadrant_variance
1,1.5845481977013023,0.9226021789001926,1.6469955591154481,0.9101150562206042,0.029208557129903678,27.00588619831879,2.2691893370472144e-06
2,1.4886234932356261,0.9243584982812049,1.6201815955512098,0.9208598933008424,0.030293131352365537,27.006540912786697,1.02181361316023e-05
3,1.446672453256214,0.9169304935547942,1.6376154184643474,0.9122081847815942,0.03345930168508439,27.005641913238286,3.0281469884641923e-06
4,1.4864361535229325,0.891095129647133,1.4702416523907718,0.9047462873083592,0.03204897412705482,27.006094820078786,4.30090473466916e-06
5,1.5284980567789566,0.900158267957778,1.6215656548231432,0.9027563987440955,0.034323516446925294,27.006658965618108,9.341317540211349e-06
6,1.6110241123187996,0.8688399881017189,1.8086261734844893,0.8835316759555765,0.03347979214760402,27.006404015757887,3.240059977035665e-06
7,1.5365638634457064,0.8913150354212482,1.6558633056917347,0.9016028582196697,0.035713576011454674,27.0063925984187,3.7134738787701626e-06
8,1.473608912858543,0.8800119263344244,1.7038350239066136,0.8976012925428347,0.033656748272880795,27.00576009289656,6.768000812166509e-06
9,1.451725939755491,0.845519469855659,1.8250039128695241,0.88390467773798,0.03705196375157142,27.00688319758635,3.5808677445515487e-06
10,1.4562601228852186,0.8541917760008932,1.8355100746920847,0.8787305248119045,0.032756448836054976,27.005638005775275,1.905934000153321e-06
11,1.4560729192301427,0.8459049990861451,1.6577172866538394,0.9104071323552569,0.04006300752246519,27.00636415763258,1.661533000224934e-06
12,1.6402493443688653,0.8582748019499886,1.615080079834068,0.9215235229828711,0.036673413867391105,27.006437929775117,6.7735761950536045e-06
13,1.4325033613285991,0.8446699431944135,1.5999264971765823,0.8983745477827004,0.03999347954931833,27.00621665630355,1.3078834668555012e-05
14,1.446198837475761,0.8749800101519931,1.6046754585452752,0.9153309968291055,0.040044506880779436,27.006359738163944,3.3889812241615653e-06
15,1.4752413657867414,0.8470850107336865,1.5548700021508033,0.9056638425277944,0.03719664547544046,27.006206275789314,8.156222022373564e-06
16,1.3625056704779892,0.8789279816275428,1.6338880704129104,0.9023191688585984,0.040503571779053164,27.00567755103991,6.190322977229497e-06
17,1.4379390573017692,0.8756383353938817,1.7167715788348437,0.9089406798511754,0.03434233010193301,27.006950041139003,1.1881138752080165e-05
18,1.4984849118263683,0.8959224579666474,1.6945438190432642,0.8954167144128738,0.03592050239944154,27.005779880473654,7.2978413024817e-06
19,1.468346109052837,0.9102186054453523,1.6284465754064508,0.9056785199346672,0.0340136250467668,27.005914949532922,5.394538479869823e-06
20,1.4289688612638174,0.9125131354100043,1.6192156070191366,0.9129112718234789,0.03668475726890578,27.00413037646166,3.637465963688722e-06
21,1.5100746246393726,0.9214043451273333,1.5701943296194116,0.9161252025281895,0.03187330629153951,27.006274348894337,3.357139912435697e-06
22,1.6694162759993243,0.92072831242016,1.457627467672904,0.9154730652808607,0.027044517745796165,27.00487395059355,2.3984885396503193e-06
