slice,mean,std,skewness,kurtosis,energy,entropy,center_ratio,lr_asymmetry,tb_asymmetry,angular_uniformity
1,41419.40673800521,16810464.196983326,511.9876557650917,262132.57109641217,7.408017003913232e+19,32.05003211324483,0.9999999992155962,1.9694575958706657,1.943007339813389,-4.916032273681024
2,41595.686940937696,16811603.963583127,511.9865636700855,262131.82519713364,7.40902195768947e+19,31.890470631162778,0.9999999992542529,1.9688782101351252,1.9426442630544443,-4.916026561986675
3,42272.59596010888,16812491.98221009,511.98636527839864,262131.68968647558,7.409806177055487e+19,32.03839396590662,0.9999999991517979,1.9659343551078667,1.9410170109551674,-4.916025888760534
4,43304.256103765154,16813764.15927481,511.9856926214804,262131.23030771778,7.41092990549521e+19,31.697923868544052,0.9999999989125362,1.9599863872062464,1.9364979706080896,-4.916022792706586
5,43902.28333195814,16816906.871624287,511.98449613902153,262130.4128379029,7.413701912542994e+19,31.727599633579246,0.9999999988792337,1.9629813579508453,1.9387589748740919,-4.916019128232075
6,44565.110512558414,16821064.741722148,511.9826709760605,262129.16567247635,7.417369856423569e+19,32.69282154797537,0.9999999986374886,1.9638234309490417,1.941240541752075,-4.916011469853143
7,45601.04319891861,16822547.96081768,511.98142103328627,262128.31174368304,7.418680425818412e+19,31.66225972834907,0.9999999982085953,1.9645777517034348,1.9384613244288458,-4.916004427218882
8,46585.26570903881,16823521.82136061,511.9806567152646,262127.78967089325,7.419541760528297e+19,32.2078035309487,0.9999999978804917,1.9644524933430116,1.929909832964201,-4.915999751846569
9,47700.05705135716,16828060.623252977,511.97781048801033,262125.84470951834,7.423548447400134e+19,32.459694971967316,0.9999999974829541,1.9618351635209554,1.9183140631346298,-4.915987003272328
10,48369.23955763327,16829180.979971915,511.97692640231355,262125.2404649505,7.424538628324953e+19,31.091265813487333,0.999999996874367,1.9559192337273417,1.918003524715943,-4.915981555931582
11,48610.80115754825,16831467.801619466,511.97582468989367,262124.48748589505,7.426557119481568e+19,32.01381382674535,0.9999999966257681,1.9511504893894147,1.9154662854620497,-4.915974941935181
12,48756.79021480923,16831527.878132276,511.97634744588646,262124.84438518196,7.426610506942017e+19,32.61488627894749,0.9999999962362759,1.9463660452739129,1.9216207547535549,-4.915978232408599
13,49999.75583583197,16838318.42205015,511.9703336873929,262120.73422556277,7.432607295286464e+19,33.54018686764717,0.9999999955748773,1.9380337866043627,1.9179590335290404,-4.915947841808509
14,50373.89015649753,16838696.96394102,511.9693793730677,262120.08176979856,7.432942465115644e+19,32.63223742730675,0.999999995201613,1.930015446020026,1.9259896804647814,-4.91594394187811
15,50346.74353954946,16841239.305915758,511.96556411405334,262117.4745836945,7.435187025443743e+19,32.638168862140304,0.9999999950844203,1.9330813748830653,1.9324239914638548,-4.915923740128939
16,48868.681215079225,16837893.390298687,511.96752849239857,262118.8179501174,7.432229145046362e+19,31.80278085349248,0.9999999960470657,1.9562926869873354,1.9401494260402776,-4.915930387542602
17,47755.948288216874,16837201.078542627,511.9673992394921,262118.72975167583,7.431615172834075e+19,33.19230823765669,0.9999999970743062,1.969284708394009,1.9441276130192442,-4.91592959341507
18,46116.76732508291,16833497.436574154,511.968810225741,262119.6940558921,7.428342093011411e+19,32.357380836515325,0.9999999981388535,1.9713805208847888,1.94650615783022,-4.91593659048739
19,45169.005416057014,16830406.36242232,511.97038033785685,262120.76634471503,7.425612016866194e+19,32.90643938640833,0.999999998540603,1.9719486660997587,1.9457079714117824,-4.915947239542292
20,43542.4973837953,16824187.768822767,511.97502661141635,262123.9412397225,7.420121973514148e+19,32.61751944906219,0.9999999990283995,1.972903388215669,1.945908023324092,-4.915972437628925
21,41661.00783812772,16818615.122237682,511.9784371226191,262126.27157644194,7.415203109785728e+19,31.961329463087168,0.9999999993022082,1.9732701443664613,1.9484192306651709,-4.9159913383198575
22,39248.56593638819,16810054.015378505,511.98397858665084,262130.05803772423,7.407650903159497e+19,31.004276170095828,0.9999999997221548,1.9736860599393062,1.9496836945811062,-4.916018567379901
23,37166.03062535727,16799175.710067373,511.9905074595817,262134.51836102494,7.398062446386874e+19,30.030022602661635,0.9999999998713267,1.9728991431855212,1.9500971386563482,-4.916048625918942
24,35395.64137941064,16791848.905634727,511.9938112481282,262136.77466726684,7.391607325224996e+19,28.42613153779375,0.9999999999600504,1.972767375325429,1.9523523496308723,-4.91606448366389
