slice,phase_gradient_mean,phase_gradient_std,hermitian_error_mean,hermitian_error_std,mean_coherence,phase_entropy,phase_quadrant_variance
1,1.7750192319310911,0.9004146230369068,1.5515723681070168,0.9121159485062684,0.02939317013520322,27.00676132432192,1.608064399158794e-06
2,1.7813177653014676,0.9065135800822502,1.4455490689511326,0.9081573343846987,0.033368888416138,27.006340318159122,2.9538550867003693e-06
3,1.883301864585935,0.8608252629766293,1.6012988793446192,0.8560564211763594,0.027820991124482938,27.006636816002835,1.041137878378357e-06
4,1.796524314501966,0.886942059905516,1.5967667465521478,0.8782868390020526,0.029795595065590583,27.005855841211122,5.324538811627226e-06
5,1.7924544412729655,0.8824882703875871,1.5938706672550014,0.8868121721499457,0.03403990591365093,27.006348937463002,5.416627449375226e-06
6,1.7135837578437991,0.8793394501894762,1.6489384050820264,0.9093915602053234,0.0321294415502182,27.006267408492384,9.860336728558094e-07
7,1.7066799447005265,0.8457921796352312,1.72253683978965,0.9034103474001458,0.03263180329991809,27.00621175827292,2.1212354955580688e-07
8,1.7109169300129476,0.8798155913716508,1.6687788887075259,0.8849733241564512,0.03297654606265105,27.006040103775838,5.738307174164753e-06
9,1.725074312021455,0.8635014665386792,1.6641329540139216,0.900561556481652,0.03426329417675231,27.006173087807714,1.056902514329465e-06
10,1.8267518925136925,0.8167250399739948,1.6627829400335261,0.8487873549523152,0.030888975256517483,27.00637161905615,7.33569753263431e-07
11,1.8395660095064033,0.8167209728113783,1.7358322170227942,0.8428821469289624,0.029760317972222422,27.006583736052875,1.5079024746753444e-08
12,1.8466690564893327,0.829593250511711,1.6451215204433942,0.8550676761529139,0.03364329731305395,27.00606719409252,8.001783990182063e-06
13,1.743401682465759,0.8444045734934364,1.7968355030849261,0.8744731745288571,0.03520201121191976,27.005502715143248,4.48032480407286e-07
14,1.7620151866616558,0.83418894819589,1.7991899489767875,0.8815518519079635,0.033303752299876685,27.00616655976492,7.111307127839837e-07
15,1.7623399038916145,0.8390675907369627,1.7619336499416343,0.8780547533602656,0.032617781565664035,27.006385735676457,1.5716578704794928e-06
16,1.7634390672730311,0.8420964218098835,1.7617070175469574,0.8859111989718628,0.033339054560871745,27.00646199807235,1.8421916590085521e-06
17,1.7588414849059049,0.8701382729879605,1.6728931786987973,0.8762226133319861,0.03226536245054616,27.005276548683113,6.609381775938045e-08
18,1.554315779253257,0.9160803954664576,1.660375281316682,0.9068608473479952,0.040371654434702746,27.006623138740043,1.6776081652354024e-06
19,1.5622346177593287,0.9185476762378599,1.6338950495681508,0.9061108104792576,0.038558535160774024,27.006569856816835,6.26151356969479e-07
20,1.687644521888962,0.9089699404754186,1.5417219700165778,0.8854633840782733,0.03371794828867263,27.006336641487028,3.4103066191109812e-09
21,1.7194591246882247,0.9200834635747447,1.5223428338851535,0.8995577254679284,0.03177733320543899,27.00523615741364,2.0052796515588395e-08
22,1.774588769347379,0.9256037640032038,1.4878454796892355,0.9150149305977606,0.0315644089165284,27.00643428110557,1.734672648758231e-06
23,1.800022236455613,0.9284432576694726,1.4717150009305477,0.920881623079373,0.03484374164877774,27.006149508221792,4.627610884465632e-06
24,1.5887291976569222,0.9415794138922648,1.5263008645070324,0.9263277899047553,0.0319105797007231,27.007035523654256,4.693963336148253e-07
