slice,mean,std,skewness,kurtosis,energy,entropy,center_ratio,lr_asymmetry,tb_asymmetry,angular_uniformity
1,43519.16226202122,16830295.734842986,511.9747147914653,262123.73068327957,7.425510563899195e+19,32.36522247215208,0.9999999986121466,1.9767991367769882,1.9341861557813231,-4.915968036968764
2,43267.966129991015,16826623.338839196,511.9767153725986,262125.09792544763,7.422269852327895e+19,32.16327803346729,0.9999999987858885,1.975956914549635,1.9401818350773128,-4.915976643248374
3,44765.00235993418,16827005.65072523,511.9753995957081,262124.1997840583,7.422610586336623e+19,31.35078065372317,0.9999999984486112,1.9643644501067345,1.9296658277792875,-4.915966887307619
4,44318.703003909985,16825350.902226467,511.97732219352133,262125.5133308725,7.421149764137491e+19,30.70725490941779,0.9999999986679671,1.9689244116004179,1.9416540470372081,-4.915978210358463
5,45643.12832612674,16830055.765072156,511.97394494595846,262123.20654475468,7.425303782374824e+19,31.487678153247174,0.9999999984196389,1.9705058184331197,1.9299793377290941,-4.915958337313188
6,46393.12283908244,16832014.230860166,511.97260186092643,262122.28875896655,7.427033802728433e+19,32.181001981769306,0.9999999981606889,1.968433369168203,1.9236317166557144,-4.915950881375767
7,46277.42823450228,16830511.641037982,511.9728754676556,262122.47601409498,7.425707571923624e+19,31.57919701601732,0.9999999984112458,1.9676186891581622,1.927265118159952,-4.915950731838304
8,46455.448725231116,16828354.756877363,511.97378567240025,262123.0984918137,7.423804884439084e+19,31.434168018347037,0.9999999981643288,1.9720024945443648,1.9335201582410542,-4.915951962410536
9,47177.6522771796,16828877.272197295,511.97394287190843,262123.20612799557,7.424267674545108e+19,31.510589854127794,0.9999999979421145,1.9699829410297631,1.9263886358441031,-4.915951109564999
10,47952.09329740665,16828939.53670276,511.97445762050285,262123.55764772743,7.424324543007924e+19,31.257524162363374,0.9999999974244861,1.9655538451815497,1.9173184990903562,-4.915953310563522
11,48116.00414987738,16829657.021064326,511.9758154605683,262124.48490501122,7.424958020885281e+19,30.78553357337909,0.9999999969836642,1.9671431448006356,1.9173575481962837,-4.915962234635845
12,47295.67054546599,16826746.22358888,511.9792693256116,262126.84370162728,7.422387823667189e+19,30.691559053188286,0.9999999970870892,1.9700462380739578,1.9206340657042698,-4.915982343315923
13,47532.318969965265,16826493.331687782,511.9791679851042,262126.77448113798,7.422165310837359e+19,31.832231959891967,0.9999999967855373,1.9755117132158482,1.925738985774695,-4.915981226695934
14,48114.088381148795,16825542.097001553,511.97805196656765,262126.01252114028,7.421327620793228e+19,31.961814907105918,0.999999996605853,1.973626367977378,1.9255202490208778,-4.915972263315871
15,48773.48345996965,16827090.87465784,511.9754997909586,262124.269465037,7.422695601777728e+19,32.07935435583594,0.9999999960386611,1.9762837467886056,1.9283957522850055,-4.915956610718168
16,48007.037462872875,16827046.69355366,511.97482880459825,262123.8108660635,7.42265467968372e+19,32.166824241703154,0.9999999963007283,1.9757181329433444,1.9355922155941194,-4.915953537170964
17,47081.024312466296,16828135.425378077,511.97363035455834,262122.99191662797,7.423612905526788e+19,32.193950245536094,0.9999999970926015,1.9777639625615433,1.945392499819676,-4.915948724745808
18,45453.03561501736,16825883.329367235,511.9746142509624,262123.66392472901,7.421622112535835e+19,31.644617170173664,0.9999999981426072,1.985168851563789,1.9546389602913496,-4.915954268725712
19,44129.736385996046,16825821.041558668,511.973455123227,262122.87196443413,7.421564057188881e+19,32.54332276919648,0.9999999990153535,1.985921311935857,1.9539633486245307,-4.915949243899915
20,42958.4584046241,16822218.726858906,511.97493268549505,262123.8811096359,7.418383914065745e+19,32.03405169065047,0.9999999993190419,1.978949379485541,1.9530005115992801,-4.915957648108033
21,41283.0735807039,16820077.667773474,511.97515132369705,262124.02998248817,7.416491987228323e+19,30.888685460480406,0.9999999996005672,1.9805285924714018,1.951869825550446,-4.91596132172661
22,40005.13467780207,16813650.086145915,511.97903952128166,262126.68589437735,7.41082214249674e+19,31.57021104558403,0.9999999996454156,1.9788829515917779,1.9515779751787443,-4.915983959523157
23,38650.61201274347,16809556.689628646,511.9815478936339,262128.3988256692,7.407211379992773e+19,31.35588151388195,0.9999999997582775,1.9785621898746641,1.9486206901057652,-4.9160007624760285
24,36198.72893854221,16799722.72837544,511.98808710607295,262132.86517680864,7.398542386089715e+19,30.078014145328208,0.9999999999265772,1.9850996765116589,1.950923756601368,-4.91603711272593
