slice,mean,std,skewness,kurtosis,energy,entropy,center_ratio,lr_asymmetry,tb_asymmetry,angular_uniformity
1,40220.32368358375,16819699.228366923,511.98039159914237,262127.60726670938,7.41615599110492e+19,30.766226141395233,0.9999999993928818,1.9728592030254741,1.939762169237438,-4.915999785689963
2,40941.30560982525,16825616.832508728,511.9803742975933,262127.59514432377,7.42137680323952e+19,32.01450517682379,0.9999999992915243,1.9728713574732162,1.939607436440263,-4.915999364991591
3,41591.21190019228,16831058.44692908,511.97929354476076,262126.8567154113,7.426179288867802e+19,31.383051795069914,0.9999999990638365,1.9736898311014197,1.9394584338977177,-4.915993318660997
4,41939.54798914515,16831701.996642653,511.98025165352044,262127.5116237989,7.426747951466938e+19,30.873352364372813,0.9999999989590074,1.9753424959816062,1.937092165111356,-4.915997722180404
5,41931.11526330605,16835047.891136356,511.9797619055818,262127.1769134989,7.429700864318687e+19,31.18403342658032,0.999999998910044,1.9744363534290121,1.9419670723162692,-4.915996742902965
6,41736.89841929668,16834525.372949947,511.9820570795673,262128.7448618551,7.42923924933666e+19,30.661850834263547,0.9999999989019709,1.973837989952653,1.941310439466954,-4.916009314505066
7,41639.48083510407,16837006.16415857,511.98224800553015,262128.8755147884,7.4314287787089e+19,30.826670652682708,0.9999999989791825,1.9765806556390586,1.9438244349928526,-4.9160121221407955
8,41445.755249932765,16834619.648280114,511.9847267554551,262130.5694573868,7.429321823430561e+19,31.438647897784424,0.9999999989373412,1.9781783677638751,1.9462235279437032,-4.916023531221937
9,42155.11323137412,16837749.344758265,511.9839593659695,262130.04572630714,7.43208596407528e+19,31.277266593667747,0.9999999987156196,1.9778485670049955,1.947260330234073,-4.916020103219714
10,42256.256787038285,16836813.38104849,511.985147867767,262130.8579119229,7.431259958004705e+19,31.761104647974484,0.9999999986528254,1.9772260967690105,1.9477873777119965,-4.916026024967156
11,42966.42464696776,16839093.09437442,511.9847133968165,262130.56139439053,7.433274061085866e+19,31.28918277440347,0.999999998313804,1.9786622665541722,1.9450977381875418,-4.9160249897913735
12,43742.47069188893,16838985.314900946,511.98491976850266,262130.7026536986,7.433180671880518e+19,30.27539459817683,0.9999999981629438,1.9696875148995379,1.9373266756590106,-4.916024599922143
13,44781.84350612477,16840804.404234298,511.9839568191825,262130.04513606068,7.43478914961074e+19,31.126057315878178,0.9999999979359787,1.9633403955028068,1.930373887612154,-4.91601820112826
14,44933.750198971145,16840902.318271227,511.9839151185351,262130.01663557775,7.434875959652126e+19,30.116732721023283,0.9999999979294562,1.9615746114211396,1.9252057842075316,-4.916017733678151
15,45745.66147613687,16843622.350474738,511.9818337368581,262128.59533037423,7.437279731409381e+19,31.32952945437331,0.9999999976365594,1.9662171986079564,1.9259078566176202,-4.916005854733395
16,45826.0787512069,16844863.373651925,511.98106212216004,262128.06832845905,7.438375901108476e+19,30.734537016244914,0.9999999978158801,1.967345000089822,1.9335030225642063,-4.916001107675272
17,46619.0941140493,16848754.784100894,511.978505347353,262126.3219887127,7.441814942245162e+19,30.37258091389182,0.999999997512057,1.9669074921421692,1.9336835083562134,-4.915986786171718
18,47193.10772200983,16850519.64211498,511.9770194054708,262125.30709926182,7.443375440493781e+19,30.4955271487905,0.9999999971763319,1.9671210436204916,1.9304415774941042,-4.915977044140249
19,47791.417242932854,16855116.798666865,511.9740518267269,262123.27971829186,7.44743885383307e+19,31.26683371484669,0.9999999967240781,1.9669904846095885,1.9344507619006703,-4.915963446044422
20,47062.990898706135,16856098.522877287,511.9727856856584,262122.41373621018,7.448304611178788e+19,31.58429676807532,0.9999999970866701,1.9736910801384373,1.940015671074588,-4.915959749935043
21,46974.30697423945,16859657.487846404,511.9690257249805,262119.84471377198,7.451449942160471e+19,31.666579270817454,0.9999999975178073,1.9780693410608028,1.9439883543867065,-4.915942205924334
22,46557.240719352805,16860869.18632027,511.9664553663186,262118.0885651963,7.452520016638586e+19,32.35871184948432,0.9999999982158497,1.9799927773902668,1.9430459302791439,-4.915931106991515
23,46754.15088965283,16868484.650393985,511.9575742245276,262112.01874277584,7.459254051830574e+19,32.651724770426846,0.9999999985252612,1.980724522789108,1.939110582431524,-4.915890317394109
24,46871.53856996701,16869397.140711136,511.9503573840335,262107.08664092267,7.460061363100998e+19,32.660059450628985,0.9999999987094242,1.9782897374378334,1.93555324351578,-4.915852665046598
25,47086.357386709766,16869621.42029978,511.9387022134902,262099.1220831174,7.460260255872818e+19,32.29330232707711,0.9999999987686103,1.9784119738862294,1.9376148830908266,-4.915787605642978
26,47085.06409696177,16863683.128347643,511.9349594564016,262096.56627685568,7.455009030971802e+19,31.92469946633002,0.9999999989553686,1.9692059069424472,1.9367082422276778,-4.915767593085684
27,46003.29409248207,16855416.26972015,511.9317966991364,262094.40694513486,7.447699100234259e+19,32.010651049000835,0.9999999991689017,1.9758106544996543,1.938756352048944,-4.91574399903822
28,44591.847123447005,16849518.45350306,511.91875591562587,262085.4946680687,7.442484705303464e+19,32.08125077446252,0.9999999994792571,1.984289734936224,1.9381937744059141,-4.915671983258936
