slice,phase_gradient_mean,phase_gradient_std,hermitian_error_mean,hermitian_error_std,mean_coherence,phase_entropy,phase_quadrant_variance
1,1.9431400782978991,0.8886801467781145,1.2959831965308037,0.907106447940456,0.03325621623245424,27.00069874961931,2.332912914013764e-05
2,1.8648202437745225,0.9030901745865587,1.334615731067756,0.9109860457615646,0.0387445198171514,27.00342668832731,5.722543394261264e-06
3,1.7909264357589127,0.9097652852297238,1.4547782853609186,0.916656827500556,0.04214896832266144,27.000206943335623,7.777661630583959e-06
4,1.7217129247087288,0.9002600015076382,1.5193723483290107,0.9083335042981968,0.03693683180237795,27.003218286419322,3.842896900925357e-06
5,1.6682788340280732,0.9110988425427285,1.5735611686205822,0.9130919422734407,0.044860066478345534,27.002738116927528,3.770959344198016e-06
6,1.6225237517359519,0.9003406149561031,1.6845171435423145,0.9103729247653805,0.05115924158059274,27.000296159110757,8.084840989605811e-06
7,1.5935313039810461,0.9010341008428764,1.71529489544438,0.9013661908184695,0.045115919439079,27.00029431660135,9.16569191255142e-06
8,1.5432005829928994,0.8863600100837987,1.7321867155225155,0.8998534472592297,0.046239929580371354,27.002956475651878,3.9904485728873094e-05
9,1.5053552351519284,0.8848810214885678,1.7403568114788408,0.9095078038263702,0.04754490213399049,27.001219647862627,7.617201308659187e-06
10,1.4721733297655688,0.8776776735051207,1.7439070480976397,0.9267411863487472,0.05279033145740311,27.00299111058206,2.7255596455091313e-05
11,1.4679092120350719,0.8805866484643192,1.756219625320059,0.9250714905098879,0.05712746786352121,27.001053262896185,1.734460199899604e-05
12,1.5210940517915255,0.8668359028243371,1.7220023215920803,0.9339038509668173,0.05581175659663082,27.000828073639163,3.3709416076372593e-06
13,1.4805648227684287,0.8804313828478942,1.7366870676339015,0.9393783261139291,0.05264131047014879,27.000910731709602,2.787715374156772e-05
14,1.5055200750843767,0.8823928677735655,1.714503410265855,0.9299439186226675,0.060020276827020234,26.999197383549642,1.3528400193018704e-05
15,1.5139252361220819,0.8795485424731664,1.6813975580184186,0.9181505966414719,0.058721175906272405,26.998669074540835,3.7815200165303264e-06
16,1.5541969129279478,0.8969601452542164,1.645303533331929,0.9193677442758118,0.05408406234499357,27.000028533079387,2.672906810140061e-05
17,1.5681712443216171,0.9028282441290455,1.6154887593828746,0.9147003258279002,0.05577206596902478,27.000430140807648,1.4303689214907092e-05
18,1.6295630071211806,0.8952063018250177,1.5545989279878256,0.9116298967312846,0.051194047577884476,27.003795921353916,1.9504417085954483e-05
19,1.6854504754780129,0.9016925762580609,1.5532269230185491,0.9079741783256275,0.043282187290197165,26.99843890229089,3.194013643119539e-06
20,1.744115559611881,0.9032188524755058,1.4848453143071643,0.9142355850200244,0.04395393278776141,27.000503702758774,2.452014712728744e-05
21,1.8106661964460353,0.9017264649121816,1.425586566068895,0.9126451478209598,0.03934889545790377,27.001838523531177,2.3706869699468732e-06
22,1.8825951460928065,0.892544371309834,1.3313318396585134,0.9135582029816949,0.039085237550012086,27.0021811368408,9.476708123830329e-06
