slice,mean,std,skewness,kurtosis,energy,entropy,center_ratio,lr_asymmetry,tb_asymmetry,angular_uniformity
1,37742.015521992456,16803776.167728975,511.990334296041,262134.40017288987,7.402116034196192e+19,31.23901963183977,0.999999999700253,1.9801722159083082,1.964375654990407,-4.916043618984954
2,38334.16902295181,16809192.770927675,511.9896385073163,262133.92482686753,7.406890021518626e+19,31.253895588335453,0.9999999996613541,1.982263126290956,1.9657963667326865,-4.916041496912741
3,39619.47249684971,16813772.554039028,511.9881964147147,262132.93975956703,7.410929295728496e+19,31.747046698850397,0.999999999368971,1.981676349934542,1.9636710135089122,-4.91603496066667
4,39801.83192577336,16816155.81537976,511.9877931936114,262132.6641870113,7.413030730935958e+19,31.403136507343014,0.9999999993217353,1.9825565781746857,1.964131530948801,-4.916033442679534
5,39748.09893656023,16817928.8835562,511.98782146879876,262132.68343236865,7.41459392839609e+19,32.010263136005996,0.9999999993483244,1.9809233478395456,1.9661040944587331,-4.916034283585431
6,39553.77311894879,16816888.219487548,511.98893990390314,262133.4474894288,7.41367595368991e+19,31.570986548622436,0.9999999993550646,1.982285934419173,1.9665043644897637,-4.916040493705021
7,39610.02378621974,16817344.53764733,511.9893073136343,262133.6984138952,7.414078406706358e+19,31.802518123707586,0.9999999993054538,1.9835529114911323,1.9662564904916393,-4.916042084844752
8,39811.2828449493,16818279.395383738,511.98914617269133,262133.58844520507,7.414903125034428e+19,31.768269788184607,0.9999999992656156,1.983043743514753,1.967499469093767,-4.916041036626891
9,40589.61969857395,16822130.582982305,511.9880035444933,262132.80790510052,7.418300985983266e+19,31.484547124316016,0.9999999990741785,1.9811458160547943,1.9669600270287706,-4.9160359766431
10,41307.86630505442,16826610.161123317,511.9864572494635,262131.75155314,7.422253881209315e+19,31.699314315263685,0.9999999987839485,1.978344878564452,1.9665778580309579,-4.916029627543763
11,42491.15285960413,16830820.09171067,511.9842931246151,262130.27331956284,7.425970941659791e+19,30.725500305166086,0.9999999984406954,1.9720867074020805,1.9643857312696702,-4.916017939362569
12,42943.28964070798,16833200.929794393,511.9831617973984,262129.5003184003,7.42807300129308e+19,30.52144847315361,0.9999999983899752,1.9670417511492453,1.9592474568105032,-4.916012568004213
13,43869.82637361524,16837955.057868578,511.980777593055,262127.8713369551,7.432271432055995e+19,30.424403683510032,0.9999999981268115,1.960989241039611,1.952365072801437,-4.916001824567183
14,44536.61923051856,16839122.24169741,511.97969537587454,262127.13234097825,7.433303395697451e+19,30.20218522598894,0.9999999978566759,1.9600732077523482,1.9496330990452595,-4.9159947406567674
15,45034.818676404284,16842788.1185288,511.9779260544618,262125.92357764835,7.436541355374625e+19,30.918017126770835,0.9999999977012457,1.961607090616187,1.9506015740041631,-4.915984821926045
16,45224.998053878044,16842383.01924529,511.97831370429225,262126.18848807603,7.436184087885539e+19,31.2452246995988,0.9999999976013233,1.9626001209105075,1.9559578373574986,-4.915985168156102
17,45902.21870829813,16848056.08561711,511.97500796075917,262123.92919343896,7.441196014050527e+19,30.655501756255312,0.999999997290608,1.9582755184680012,1.956477781301989,-4.915968815400866
18,46817.37153340386,16854274.41422931,511.96981576444534,262120.3810441324,7.446692046999967e+19,30.8091368884093,0.9999999969002903,1.9536701684396238,1.9549738992833745,-4.915941033315273
19,47048.599846651756,16855556.92123647,511.969365454472,262120.0734291864,7.447825945612519e+19,30.453235071491694,0.9999999967068306,1.9485429610119094,1.9538936476577824,-4.9159409526843865
20,47003.607002805875,16855990.997494686,511.96815788912375,262119.24866443418,7.448209440025949e+19,30.714803874253896,0.9999999967422653,1.9539218099528604,1.9581444061982403,-4.915935256779857
21,46766.880939330484,16855749.97560631,511.96768471054094,262118.92517239976,7.44799585910928e+19,31.646816735597184,0.9999999969290666,1.9653070772101435,1.9623806948450946,-4.915936471904846
22,46206.60295001943,16856288.1162836,511.96642424578397,262118.06393843406,7.448470070475358e+19,31.487196289894307,0.9999999976062216,1.9795407162994498,1.9643261901426656,-4.915929969570118
23,45838.01844830651,16857845.819846045,511.9632703604927,262115.9086546176,7.44984587297452e+19,32.14035276406122,0.9999999981557464,1.987769598394381,1.9669042293007206,-4.915915208104781
24,45807.786170824686,16857874.36582964,511.9587156358833,262112.79533301305,7.449871030350507e+19,32.61600017796973,0.9999999984238929,1.9873381379006132,1.9658627376414914,-4.915891483512885
25,46021.222089074625,16856169.221638188,511.95533274968375,262110.4821922589,7.448364548918744e+19,31.590223907329857,0.9999999982759835,1.9878022812882623,1.9653191864513198,-4.915879303555038
26,45541.08038121512,16846896.515395783,511.95823517753456,262112.4656696415,7.440170908135114e+19,32.18170316688435,0.9999999985228529,1.986764915000127,1.9648759305670818,-4.915890592784343
27,43757.624298522416,16836732.911826268,511.962285509613,262115.2351437325,7.431192310549262e+19,31.98931891266348,0.9999999990316006,1.987579953064913,1.9636464476559046,-4.915911123268525
28,39911.319115680635,16820395.954070237,511.97384221148275,262123.13533467462,7.416769752992214e+19,31.299018119325723,0.9999999996967645,1.9883014174530456,1.9621757428080995,-4.915959869509312
